pixel 	Counts (time normalized) 	
999 	38684.192 	
1000 	38707 	
1001 	38798.731 	
1002 	38860.962 	
1003 	38832.923 	
1004 	38711.577 	
1005 	38680.269 	
1006 	38675.885 	
1007 	38679.654 	
1008 	38688.423 	
1009 	38689.577 	
1010 	38694.115 	
1011 	38689.808 	
1012 	38679.923 	
1013 	38690.615 	
1014 	38672.192 	
1015 	38679.154 	
1016 	38694.731 	
1017 	38677.308 	
1018 	38746.154 	
1019 	38826.038 	
1020 	38850.423 	
1021 	38743.5 	
1022 	38701.615 	
1023 	38712.5 	
1024 	38677.154 	
1025 	38692.538 	
1026 	38692.615 	
1027 	38675.192 	
1028 	38674.231 	
1029 	38680.962 	
1030 	38686.615 	
1031 	38680.462 	
1032 	38685.077 	
1033 	38676.077 	
1034 	38699.154 	
1035 	38726.769 	
1036 	38874.923 	
1037 	38845.692 	
1038 	38791.654 	
1039 	38711.462 	
1040 	38682.769 	
1041 	38669.077 	
1042 	38666.808 	
1043 	38691.692 	
1044 	38672.385 	
1045 	38697.269 	
1046 	38681.808 	
1047 	38678.231 	
1048 	38696.962 	
1049 	38691.808 	
1050 	38690.808 	
1051 	38696.231 	
1052 	38697.885 	
1053 	38761.269 	
1054 	38837.923 	
1055 	38792.423 	
1056 	38699.192 	
1057 	38669.808 	
1058 	38671.692 	
1059 	38671.231 	
1060 	38662.385 	
1061 	38675.308 	
1062 	38660.154 	
1063 	38677.962 	
1064 	38662.038 	
1065 	38674.115 	
1066 	38667.654 	
1067 	38662.5 	
1068 	38652.385 	
1069 	38701.077 	
1070 	38723.577 	
1071 	38799.385 	
1072 	38807.885 	
1073 	38741.962 	
1074 	38669.731 	
1075 	38694.769 	
1076 	38681.654 	
1077 	38675.231 	
1078 	38662.615 	
1079 	38674.308 	
1080 	38663.5 	
1081 	38652.5 	
1082 	38665.308 	
1083 	38663.577 	
1084 	38679.923 	
1085 	38661.231 	
1086 	38664.808 	
1087 	38672.577 	
1088 	38726.923 	
1089 	38773.346 	
1090 	38755.423 	
1091 	38703.154 	
